"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Vasaramäki","2h,k,kph,las.parv","kt","50,00",133000,2660,1963,"4/4","ei","hyvä","oma","E2013"
"Luolavuori","2h,k,las.p (yj....","kt","59,00",92404,1566,1970,"4/5","on","tyyd.","oma","F2013"
"Nättinummi","2h, k , kph, 2x...","kt","61,00",110000,1803,1973,"4/8","on","hyvä","oma","F2013"
"Kakolanmäki","2h+kt","kt","37,00",167000,4514,2020,"4/6","ei","hyvä","vuokra","B2018"
"Runosmäki","2 h, k, lasitet...","kt","55,00",70000,1273,1977,"4/6","on","hyvä","oma","C2007"
"Hurttivuori","2h, k, parv.","kt","59,00",87000,1475,1970,"4/4","ei","hyvä","oma","G2013"
"Satama","2 h,kt,vh","kt","43,00",196000,4558,2019,"4/7","on"," ","oma","B2013"
"Vasaramäki","2h,k,p","kt","47,00",90000,1915,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Vasaramäki","2h,k,p","kt","47,00",91000,1936,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Keskusta","2h, k, kph, las...","kt","55,00",209000,3800,1970,"4/7","on","hyvä","oma","F2013"
"Runosmäki","2h, k, kh, p","kt","61,00",91000,1492,1975,"4/6","on","hyvä","oma","C2007"
"Kakolanmäki","2H,KT,S,P","kt","47,50",214700,4520,2022,"3/6","on","hyvä","vuokra","B2018"
"Runosmäki","2h, kk","kt","50,50",73000,1446,1973,"3/3","ei","hyvä","oma","D2007"
"Telakkaranta","2h+k+s","kt","54,50",320000,5872,2013,"3/8","on","hyvä","oma","C2018"
"Itäinen keskusta","2h+kk+kph/wc+pa...","kt","43,00",180500,4198,1962,"3/9","on","hyvä","oma","G2013"
"Keskusta","2h, k, kh, parv.","kt","44,00",175000,3977,1961,"3/8","on","hyvä","oma","F"
"Satama","2 h,k,s,p","kt","54,00",250000,4630,2022,"3/6","on"," ","oma","A2018"
"Satama","2 h,k,vh,s","kt","51,00",220800,4329,2019,"3/6","on"," ","oma","B2013"
"Länsikeskus","2h+k+s+p","kt","61,00",183000,3000,2005,"3/6","on","hyvä","oma","C2018"
"Patterinhaka","2h, kt, p","kt","46,00",198000,4304,2017,"3/8","on","hyvä","oma","C2013"
"Vasaramäki","2h+k","kt","50,00",129000,2580,1963,"3/4","ei","tyyd.","oma","F2013"
"Ispoinen","2h,k,kph","kt","59,00",158000,2678,1970,"3/5","on","hyvä","oma","F2013"
"Hepokulta","2 h, k, kh, p","kt","54,50",80000,1468,1970,"3/4","on","hyvä","oma","F2013"
"Vienola","2h, k, parveke","kt","58,50",79000,1350,1967,"3/3","ei","hyvä","oma","F"
"Uittamo","2h+k+kph/wc+vh+...","kt","56,00",88000,1571,1967,"3/7","on","tyyd.","oma","E2013"
"Kastu","2h,k,kph","kt","56,00",139000,2482,1965,"3/3","ei","hyvä","oma","F2007"
"Iso-heikkilä","2h + k + kph/wc...","kt","58,00",155000,2672,1954,"3/7","on","hyvä","oma","F2013"
"Ilpoinen","2h,k","kt","47,50",89000,1874,1971,"3/3","ei","hyvä","oma","F2013"
"Majakkaranta","2h, k, s, p","kt","57,50",195700,3403,1993,"3/4","on","hyvä","oma","F"
"Vasaramäki","2h,k,p","kt","47,00",89300,1900,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Keskusta","2h, k, parv.","kt","52,00",186000,3577,1961,"3/7","on","hyvä","oma","E2013"
"Satama","2 h,k,vh,s","kt","56,00",241425,4311,2019,"3/7","on"," ","oma","B2013"
"Vasaramäki","2h,k,p","kt","47,00",89300,1900,1961,"3/4","ei","tyyd.","vuokra","F2007"
"Harittu","2h, k","kt","57,00",122000,2140,1989,"3/5","on","hyvä","oma","C"
"Itäinen keskusta","2h+k","kt","53,00",134000,2528,1969,"3/6","on","tyyd.","oma","D2007"
"Itäharju","2h+k+kph/wc+las...","kt","43,00",129500,3012,1966,"3/4","ei","tyyd.","oma","F2013"
